"","X","date","time","pop","eggs","date_time","pop_type","date_time_pop"
"218",1098,"2022-02-11","overnight","rap3",160,"2022-02-11_am","anc","2022-02-11_am_rap3"
"219",1099,"2022-02-11","overnight","rap4",187,"2022-02-11_am","anc","2022-02-11_am_rap4"
"220",1100,"2022-02-11","overnight","rap5",125,"2022-02-11_am","anc","2022-02-11_am_rap5"
"221",161,"2022-02-12","overnight","evo1",108,"2022-02-12_am","evo","2022-02-12_am_evo1"
"222",162,"2022-02-12","overnight","evo2",134,"2022-02-12_am","evo","2022-02-12_am_evo2"
"223",163,"2022-02-12","overnight","evo3",124,"2022-02-12_am","evo","2022-02-12_am_evo3"
"224",164,"2022-02-12","overnight","evo4",136,"2022-02-12_am","evo","2022-02-12_am_evo4"
"225",165,"2022-02-12","overnight","evo5",124,"2022-02-12_am","evo","2022-02-12_am_evo5"
"226",166,"2022-02-12","overnight","rap1",186,"2022-02-12_am","anc","2022-02-12_am_rap1"
"227",167,"2022-02-12","overnight","rap2",224,"2022-02-12_am","anc","2022-02-12_am_rap2"
"228",168,"2022-02-12","overnight","rap3",183,"2022-02-12_am","anc","2022-02-12_am_rap3"
"229",169,"2022-02-12","overnight","rap4",184,"2022-02-12_am","anc","2022-02-12_am_rap4"
"230",170,"2022-02-12","overnight","rap5",159,"2022-02-12_am","anc","2022-02-12_am_rap5"
"231",171,"2022-02-12","daytime","evo1",146,"2022-02-12_pm","evo","2022-02-12_pm_evo1"
"232",172,"2022-02-12","daytime","evo2",73,"2022-02-12_pm","evo","2022-02-12_pm_evo2"
"233",173,"2022-02-12","daytime","evo3",90,"2022-02-12_pm","evo","2022-02-12_pm_evo3"
"234",174,"2022-02-12","daytime","evo4",91,"2022-02-12_pm","evo","2022-02-12_pm_evo4"
"235",175,"2022-02-12","daytime","evo5",129,"2022-02-12_pm","evo","2022-02-12_pm_evo5"
"236",176,"2022-02-12","daytime","rap1",42,"2022-02-12_pm","anc","2022-02-12_pm_rap1"
"237",177,"2022-02-12","daytime","rap2",38,"2022-02-12_pm","anc","2022-02-12_pm_rap2"
"238",178,"2022-02-12","daytime","rap3",26,"2022-02-12_pm","anc","2022-02-12_pm_rap3"
"239",179,"2022-02-12","daytime","rap4",40,"2022-02-12_pm","anc","2022-02-12_pm_rap4"
"240",180,"2022-02-12","daytime","rap5",71,"2022-02-12_pm","anc","2022-02-12_pm_rap5"
"241",181,"2022-02-13","overnight","evo1",75,"2022-02-13_am","evo","2022-02-13_am_evo1"
"242",182,"2022-02-13","overnight","evo2",119,"2022-02-13_am","evo","2022-02-13_am_evo2"
"243",183,"2022-02-13","overnight","evo3",99,"2022-02-13_am","evo","2022-02-13_am_evo3"
"244",184,"2022-02-13","overnight","evo4",134,"2022-02-13_am","evo","2022-02-13_am_evo4"
"245",185,"2022-02-13","overnight","evo5",97,"2022-02-13_am","evo","2022-02-13_am_evo5"
"246",186,"2022-02-13","overnight","rap1",166,"2022-02-13_am","anc","2022-02-13_am_rap1"
"247",187,"2022-02-13","overnight","rap2",136,"2022-02-13_am","anc","2022-02-13_am_rap2"
"248",188,"2022-02-13","overnight","rap3",128,"2022-02-13_am","anc","2022-02-13_am_rap3"
